id,squad,played90s,avgpossession,goalsx90,assistsx90
1,Albania,3,40.3,0.33,0.33
2,Austria,3,54,0.33,0.33
3,Belgium,5,52.4,1.8,1.6
4,Croatia,4.3,48.8,1.15,0.92
5,"Czech Republic",3,42.3,0.67,0.33
6,England,4,62,1,0.25
7,France,7.3,54.4,1.77,1.5
8,Germany,6.3,66.8,1.11,0.95
9,Hungary,4,52.5,1.25,0.5
10,Italy,5.3,44.8,1.13,0.94
11,Poland,5.7,46.4,0.71,0.71
12,Portugal,8,53,1.13,1.13
13,Romania,3,44.3,0.67,0
14,Slovakia,4,43.5,0.75,0.75
15,Spain,4,65,1.25,1.25
16,Switzerland,4.3,59.5,0.69,0.69
17,TÃ¼rkiye,3,45.3,0.67,0.67
18,Ukraine,3,55.7,0,0
