id,squad,played90s_wc2022,avgpossession_wc2022,goalsx90_wc2022,assistsx90_wc2022,expgoalsx90_wc2022,diffgoalx90_wc2022,played90s_nl2022,avgpossession_nl2022,goalsx90_nl2022,assistsx90_nl2022,expgoalsx90_nl2022,diffgoalx90_nl2022,played90s_euro2021,avgpossession_euro2021,goalsx90_euro2021,assistsx90_euro2021,expgoalsx90_euro2021,diffgoalx90_euro2021,played90s_wc2018,avgpossession_wc2018,goalsx90_wc2018,assistsx90_wc2018,expgoalsx90_wc2018,diffgoalx90_wc2018,played90s_euro2016,avgpossession_euro2016,goalsx90_euro2016,assistsx90_euro2016,total_90s_played
1,Albania,NULL,NULL,NULL,NULL,NULL,NULL,4,54.5,1,0.5,1.15,-0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,40.3,0.33,0.33,7
2,Austria,NULL,NULL,NULL,NULL,NULL,NULL,6,43.5,1,1,1.08,-0.08,4.3,53.5,1.15,1.15,1.17,-0.02,NULL,NULL,NULL,NULL,NULL,NULL,3,54,0.33,0.33,13.3
3,Belgium,3,57,0.33,0.33,1.57,-1.24,6,62.3,1.83,1.83,1.82,0.01,5,53.8,1.6,1.2,1.18,0.42,7,52.9,2.14,1.71,1.9,0.24,5,52.4,1.8,1.6,26
4,Croatia,7.7,54.3,1.04,1.04,0.91,0.13,8.7,51.3,1.38,0.69,1.31,0.07,4.3,50,1.38,1.15,1.27,0.11,8,56.7,1.62,1,1.4,0.22,4.3,48.8,1.15,0.92,33
5,Czech Republic,NULL,NULL,NULL,NULL,NULL,NULL,6,35,0.67,0.5,1.45,-0.78,5,48.2,1.2,0.8,1.23,-0.03,NULL,NULL,NULL,NULL,NULL,NULL,3,42.3,0.67,0.33,14
6,Denmark,3,60,0.33,0.33,0.9,-0.57,6,47.7,1.5,1.33,1.27,0.23,6.3,53.3,1.89,1.26,1.57,0.32,4.3,43,0.69,0.69,0.68,0.01,NULL,NULL,NULL,NULL,19.6
7,England,5,62.8,2.6,2.2,1.72,0.88,6,53.3,0.67,0.33,1.42,-0.75,7.7,50.9,1.3,1.04,1.44,-0.14,7.7,54.1,1.57,0.78,1.46,0.11,4,62,1,0.25,30.4
8,France,7.3,51.3,2.18,1.64,1.88,0.3,6,57.7,0.83,0.67,1.55,-0.72,4.3,52.8,1.38,0.46,1.72,-0.34,7,48.3,1.71,0.86,1.3,0.41,7.3,54.4,1.77,1.5,31.9
9,Georgia,NULL,NULL,NULL,NULL,NULL,NULL,6,52.2,2.33,1.67,1.55,0.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
10,Germany,3,59.3,2,1.67,3.35,-1.35,6,65.7,1.83,1.17,2.35,-0.52,4,61.8,1,0.75,1.77,-0.77,3,71.7,0.67,0.67,1.85,-1.18,6.3,66.8,1.11,0.95,22.3
11,Hungary,NULL,NULL,NULL,NULL,NULL,NULL,6,38.5,1.17,1,1.38,-0.21,3,30,1,1,0.48,0.52,NULL,NULL,NULL,NULL,NULL,NULL,4,52.5,1.25,0.5,13
12,Italy,NULL,NULL,NULL,NULL,NULL,NULL,8,41.8,1.5,1.25,1.49,0.01,8,54.7,1.5,1.13,1.64,-0.14,NULL,NULL,NULL,NULL,NULL,NULL,5.3,44.8,1.13,0.94,21.3
13,Netherlands,5.3,53,1.87,1.5,0.86,1.01,8.3,55.8,2.16,1.68,1.63,0.53,4,54.8,2,1.25,2.15,-0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.6
14,Poland,NULL,NULL,NULL,NULL,NULL,NULL,6,40.3,1,0.83,0.92,0.08,3,49.3,1.33,1.33,1.55,-0.22,3,50.7,0.67,0.67,1.12,-0.45,5.7,46.4,0.71,0.71,17.7
15,Portugal,5,60.4,2.4,2,1.57,0.83,6,50.7,1.83,1.83,1.8,0.03,4,54.3,1.75,1,1.97,-0.22,4,54.8,1.5,1,1.21,0.29,8,53,1.13,1.13,27
16,Romania,NULL,NULL,NULL,NULL,NULL,NULL,6,49.3,1,1,1.43,-0.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,44.3,0.67,0,9
17,Scotland,NULL,NULL,NULL,NULL,NULL,NULL,6,59,1.83,1.5,1.72,0.11,3,43.7,0.33,0,1.3,-0.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9
18,Serbia,3,51.3,1.67,1.33,1.12,0.55,6,57.8,2.17,2.17,1.65,0.52,NULL,NULL,NULL,NULL,NULL,NULL,3,42.7,0.67,0.33,1.07,-0.4,NULL,NULL,NULL,NULL,12
19,Slovakia,NULL,NULL,NULL,NULL,NULL,NULL,6,69.3,0.83,0.5,1.1,-0.27,3,45,0.33,0.33,0.34,-0.01,NULL,NULL,NULL,NULL,NULL,NULL,4,43.5,0.75,0.75,13
20,Slovenia,NULL,NULL,NULL,NULL,NULL,NULL,6,41.3,1,0.83,1.02,-0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
21,Spain,4.3,75.8,2.08,1.15,1.42,0.66,8.3,67.8,1.2,0.84,1.42,-0.22,7,72,1.43,1.29,2.38,-0.95,4.3,74,1.38,0.69,1.89,-0.51,4,65,1.25,1.25,27.9
22,Switzerland,4,49,1.25,1,1.37,-0.12,6,43.7,1,0.83,1.12,-0.12,5.7,48,1.41,1.41,1.26,0.15,4,59.3,1.25,1,1.27,-0.02,4.3,59.5,0.69,0.69,24
23,Türkiye,NULL,NULL,NULL,NULL,NULL,NULL,6,66.2,2.83,1.83,2.73,0.1,3,49,0.33,0.33,1.01,-0.68,NULL,NULL,NULL,NULL,NULL,NULL,3,45.3,0.67,0.67,12
24,Ukraine,NULL,NULL,NULL,NULL,NULL,NULL,6,59.8,1.67,1.17,1.42,0.25,5.3,48.4,1.13,1.13,1.17,-0.04,NULL,NULL,NULL,NULL,NULL,NULL,3,55.7,0,0,14.3